0.89697	4.45882	-0.89364
4.47577	3.39753	-6.59578
10.25087	-1.07526	-9.64642
13.70958	-3.33647	10.90869
11.19272	-1.31325	5.69280
2.63420	-3.02220	-6.35077
-2.03906	7.13682	4.50577
9.04202	-4.55413	1.49276
11.73245	-0.81150	-5.74361
-8.60535	-3.03310	4.00137
-6.57576	-4.93323	1.21619
15.42037	-5.62334	11.84095
-6.95905	-5.34677	-0.50010
-8.72014	2.91253	0.78758
-6.37722	-7.00895	0.96334
4.07679	-4.95860	-4.76790
4.61919	12.25893	3.89570
2.17529	2.70875	1.13270
-1.65730	2.86461	-0.07216
3.48023	-1.68812	-2.01632
0.73477	-0.04662	7.26083
4.78871	10.89757	4.78283
-8.15165	-3.00800	1.14644
-8.13149	-4.59531	-0.69661
-7.41340	-1.48278	1.72286
11.75115	-3.35401	3.23855
4.76774	-5.90781	-10.73832
-1.03054	-0.21330	-3.22571
4.60781	-7.79589	-5.17122
4.59940	-2.66917	-4.41183
3.06847	0.55193	-14.59908
6.76436	-6.54270	-7.37036
7.90088	-2.49378	-12.70992
15.74441	-6.89423	10.47649
-9.59889	0.11871	-0.39482
12.59253	-4.66524	0.86653
-2.96895	6.31477	-2.71250
-5.69336	5.48460	2.63624
-1.91347	6.51990	-8.39697
-1.08154	1.08641	4.81767
5.54177	3.10346	-4.25544
-4.93515	-0.69525	5.02337
2.46906	9.47222	3.88699
-0.09323	12.17020	-3.97936
-2.29071	-1.16344	-5.82137
8.67933	-2.39482	-4.83958
-2.10805	1.32369	7.34889
-6.20556	1.85546	3.55319
-5.87765	-1.06195	4.44164
1.76891	19.13211	3.88518
10.98685	-1.33313	3.15789
2.72619	1.28340	2.04584
-6.92515	0.28734	1.84849
14.65843	2.75914	-4.39166
-2.14732	-1.56784	3.56520
8.98704	-1.34608	8.41735
0.63645	-0.63844	-7.31612
9.47241	14.12137	4.87604
5.37381	-4.70426	-2.78910
5.36687	-1.81616	-6.31353
2.86266	-5.41769	-3.94218
-8.11467	0.63571	3.43879
-10.83573	-3.41533	2.16600
-4.67563	0.67890	4.26762
-8.05718	-4.51319	0.29338
-8.64042	-6.86590	1.80165
4.16007	0.87441	-4.20787
-1.59040	9.95953	4.39821
-6.87312	3.96646	3.04908
-2.32550	0.25051	-3.11638
8.46413	-4.17491	-4.93705
-1.29260	11.42482	-5.24421
-8.35128	-4.54961	0.01817
